Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Explicit Track
Ngozi,Trench to Triumph,Crayon,7/21/2023,US23A1567556,"2,928",25,48581084,0,0,65.0,0,0,0,0,0,0,0
i am not who i was,i am not who i was - Single,Chance Peï¿½,9/21/2023,QZTPX2322912,"2,910",25,188215390,0,0,,0,0,0,0,0,0,0
Single Again,Single Again,Harmonize,2/19/2023,HKC371724447,"2,915",25,0,3,4,,0,0,0,0,0,0,0
July,July,Noah Cyrus,7/31/2019,USQX91901092,"2,927",25,977870118,0,0,80.0,0,0,0,0,0,0,0
Perro Fiel (feat. Nicky Jam),El Dorado,Shakira,5/26/2017,USSD11700143,"2,911",25,433482670,0,0,62.0,0,0,0,0,0,0,0
Andamos Mejor,Andamos Mejor,Los Gemelos De Sinaloa,1/24/2022,USDXS2200425,"2,930",25,209092342,0,0,63.0,0,0,0,0,0,186,0
Drag Me Down,Drag Me Down,One Direction,7/31/2015,GBHMU1500070,"2,921",25,1125333823,0,0,76.0,0,0,0,0,0,0,0
Tu Turrito,Tu Turrito,Rei,5/4/2022,UYB282208022,"2,918",25,187818818,0,0,57.0,0,0,0,0,0,0,0
greedy,greedy (Official Video),Tate Mcrae,9/14/2023,USRV82300987,"2,913",25,1256101755,0,0,,0,0,0,0,0,0,1
ýýýý ýýýýýýýýýý,ýýýý ýýýýýýýýýý,Anna Asti,6/3/2022,RUA1D2242027,"2,922",25,21081306,0,0,51.0,0,0,0,0,0,0,0
Meet Me At Our Spot,THE ANXIETY,The Anxiety,3/13/2020,QMJMT2002693,"2,923",25,609716786,0,0,69.0,0,0,0,0,0,0,1
Get Off The Wall,Get Off The Wall,Philly Goats,6/2/2023,USUM72307453,"2,926",25,8470479,0,0,43.0,0,0,0,0,0,0,1
It'll Be Okay,It'll Be Okay,Shawn Mendes,12/1/2021,USUM72122321,"2,925",25,344658498,0,0,65.0,0,0,0,0,0,0,0
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)",La Pantera,1/14/2022,ES5152101308,"2,924",25,283228006,0,0,62.0,0,0,0,0,0,0,1
Stereo Hearts (feat. Adam Levine),Megahits 2012 - Die Erste,Gym Class Heroes,1/1/2011,USAT21101071,"2,916",25,1318596835,0,0,74.0,0,0,0,0,0,0,0
Number 2,Number 2 / Never Last,Lil Tecca,5/3/2024,USUM72404634,"2,914",25,20742763,0,0,,0,0,0,0,0,0,1
Tuesday (feat. Drake),Tuesday (feat. Drake),Ilovemakonnen,9/1/2014,USWB11402508,"2,912",25,242892279,0,0,56.0,0,0,0,0,0,0,1
Killshot,Killshot,Eminem,9/19/2018,USUM71814876,"2,920",25,415971193,0,0,66.0,0,0,0,0,0,0,1
Cartï¿½ï¿½o B,Cartï¿½ï¿½o B,Mc Caverinha,5/11/2023,BRRGE2300377,"2,917",25,143421339,0,0,63.0,0,0,0,0,0,0,0
Jai Jai Shivshankar (The Unwind Mix),The Unwind Mix,Benny Dayal,5/7/2022,INY092200047,"2,945",25,6355,1,12,,0,0,0,0,0,0,0
Fuck Niggaz,Fuck Niggaz,Youngboy Never Broke Again,2/6/2024,USUG12400657,"2,937",25,11393565,0,0,,0,0,0,0,0,0,1
Drama (feat. Drake),Exis,Roy Woods,7/31/2015,USWB11508706,"2,932",25,497826683,0,0,64.0,0,0,0,0,0,0,1
Entre Nosotros,Entre Nosotros,Tiago Pzk,7/8/2021,ARGT32100004,"2,935",25,472107491,0,0,63.0,0,0,0,0,0,0,0
Lucky You (feat. Joyner Lucas),Kamikaze,Eminem,8/31/2018,USUM71813334,"2,944",25,709560621,0,0,68.0,0,0,0,0,0,0,1
Casanova,Casanova,Soolking,12/7/2023,FRPZ92346900,"2,940",25,68705759,0,0,73.0,0,0,0,0,0,0,0
Fruto,en dormir sin Madrid,Bizarrap,10/3/2023,UYB282301044,"2,938",25,188131570,0,0,,0,0,0,0,0,0,0
Bandana,Bandana,Fireboy Dml,7/13/2022,USUYG1433884,"2,934",25,118971684,0,0,63.0,0,0,0,0,0,0,1
the perfect pair,Beatopia,Beabadoobee,7/15/2022,GBK3W2202093,"2,936",25,230129740,0,0,72.0,0,0,0,0,0,0,0
F.N.F. (Let's Go),F.N.F. (Let's Go) - Single,Hitkidd,5/3/2022,QZRD92201643,"2,948",25,68460285,0,0,54.0,0,0,0,0,0,0,1
Falling Angel,Falling Angel,Hctm,8/13/2022,SGB502232845,"2,942",25,72997,79,0,14.0,0,813,0,0,0,0,0
Sofia,Sofia,Clairo,7/26/2019,US4HB1900086,"2,946",25,728920951,0,0,74.0,0,0,0,0,0,0,0
Speed Drive (From Barbie The Album),Speed Drive (From Barbie The Album),Charli Xcx,6/29/2023,USAT22306163,"2,943",25,222975612,0,0,67.0,0,0,0,0,0,0,0
A N X I E T Y (feat. Doechii),Boy Meets World,Sleepy Hallow,9/15/2023,USRC12202650,"2,939",25,63607535,0,0,,0,0,0,0,0,0,1
Forever,Euphoria (Original Score from the HBO Series),Labrinth,10/4/2019,USQX91902499,"2,949",25,321892912,0,0,62.0,0,0,0,0,0,0,0
SLUT ME OUT 2,SLUT ME OUT 2,Nle Choppa,4/12/2024,USWB12401318,"2,947",25,21488710,0,0,72.0,0,0,0,0,0,0,1
He Ya Pyar Sajena,He Ya Pyar Sajena,Toadi,9/30/2022,SGB502283597,"2,941",25,3574,3,20,1.0,0,0,0,0,0,0,0
Silent Hill,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,USUM72208981,"2,933",25,151507054,0,0,63.0,0,0,0,0,0,0,1
The Autotrem 1.0,The Autotrem 1.0 - Single,Dj Rick 013,6/8/2023,QM3DF2224166,"2,950",25,45821951,0,0,63.0,0,0,0,0,0,0,0
